Posting,Label
sveriges vackraste arbetsplats söker en enhetschef till it plattformstjänster med placering i norrköping sjöfartsverket är mitt i en förnyelseresa där it och digitalisering är centrala delar som enhetschef för it plattformstjänster tillhör du sjöfartsverkets it avdelning som i dagsläget består av cirka medarbetare inom avdelningen arbetar vi ständigt med att förbättra oss och vår vision är högt satt vi siktar på att bli  sveriges mest utvecklande it avdelning inom avdelningen arbetar vi nära varandra i verksamheten såväl fysiskt som digitalt tätt samarbete skapar förutsättningar för snabba beslutsvägar och smidig samverkan mellan olika roller och enheter arbetssättet är agilt vilket gör att vi ges stora möjligheter att komma med nya idéer och att vi snabbt kan anpassa oss till nya förutsättningar plattformsenheten består av ett tiotal medarbetare inom olika specialistområden av tekniker såsom windows linux dba integration och plattformsarkitektur arbetsuppgifter i rollen som enhetschef leder och planerar du enhetens arbete i samråd med tjänsteansvariga som ansvarar för det operativa arbetet du har ett budget resultat och personalansvar med tillhörande arbetsmiljöansvar för samtliga medarbetare inom gruppen enheten ansvarar för sjöfartsverkets it plattformar i rollen som enhetschef arbetar du både strategiskt och taktiskt du ser till att kommunikation och samarbeten fungerar väl både internt och externt och du bygger nätverk du arbetar med kompetensförsörjning planering och skapar förutsättningar till enheten för att bedriva en optimerad verksamhet för att stötta sjöfartsverkets behov och upprätthålla tillförlitliga it plattformar du förväntas fortlöpande skapa förutsättningar för förbättrings och utvecklingsarbeten inom din gruppering med målet att effektivisera arbetssätt och rutiner i uppdraget ingår också att utveckla din verksamhet i nära samarbete med andra delar inom och utanför it avdelningen enheten har ett extra fokus kring leverans av tjänster och plattformar som uppfyller regelefterlevnad kring it säkerhet och intilliggande områden vilket gör att erfarenheter från agila arbetssätt och agil styrning är viktigt att ha du ingår ledningsgruppen för it och rapporterar direkt till it direktören vem är du för att vara aktuell för rollen som enhetschef på plattformsenheten så krävs det att du har en akademisk utbildning inom it alternativt gedigen erfarenhet som vi bedömer som likvärdig vi söker dig som har tidigare erfarenhet av att coacha tvärfunktionella team och du har i tidigare roller arbetat med it intensivt förändringsarbete du har flera års erfarenhet av att arbeta med resursplanering i större organisationer och du har erfarenhet av metodutveckling inom it du har i tidigare roller haft budgetansvar och du är van att arbeta utifrån agila principer du har god förmåga att uttrycka dig i tal och skrift både på svenska och engelska det är meriterande om du erfarenhet av att leda förändringsarbete om du har arbetat i roller som produktägare eller likvärdigt samt om du har erfarenhet av att arbeta i en styrgrupp vi kommer att lägga stor vikt vid dina personliga egenskaper anställningen förutsätter att du är prestigelös lyhörd har ett starkt driv och att du har förmåga att bygga relationer och upprätthålla ett gott samarbete viljan att utveckla sig själv och andra är central som ledare på sjöfartsverket driver du förändringar och uppnår förbättringar genom att vara coachande och kommunikativ du förstår värdet av en stabil och kvalitativ leverans och har förmågan att se samband i större sammanhang din förmåga att motivera medarbetarna är också viktig i vidareutvecklingen av enheten och it avdelningen i dess helhet vi ställer höga krav på våra medarbetares säkerhets och sekretessmedvetande befattningen är placerad i säkerhetsklass och en säkerhetsprövning med bakgrundskontroll samt registerkontroll kommer att genomföras innan beslut om anställning fattas du måste vara svensk medborgare befattningen kan innebära krigsplacering vid sjöfartsverket varför ska du välja sjöfartsverket sjöfartsverket är ett tjänsteproducerande affärsverk inom transportsektorn vår arbetsmiljö är unik och vårt uppdrag är unikt sveriges vackraste arbetsplats vårt uppdrag är att utveckla transport och sjöfart i linje med riksdagens och regeringens beslut vår affärsidé är att erbjuda effektiva sjövägar moderna tjänster och maritimt partnerskap för tillväxt konkurrenskraft och hållbar utveckling sjöfartsverket erbjuder en trivsam arbetsmiljö med goda möjligheter att förena arbetsliv och privatliv det kan till exempel finnas möjlighet till enskild överenskommelse om distansarbete några dagar i veckan vi har en tydlig identitet och ett starkt varumärke vi är en utvecklingsinriktad organisation och arbetar ständigt för att utveckla våra medarbetare samt för att upprätthålla våra nöjda kunder är vi rätt organisation för dig är det en självklarhet för dig att agera på ett professionellt öppet och engagerat sätt vårt arbete utgår från den statliga värdegrunden vi arbetar också aktivt för jämställdhet mångfald och inkludering och ser det som en självklarhet att du delar vår uppfattning hur och när den här rekryteringen gäller en tillsvidareanställning som beräknas tillsättas snarast enligt överenskommelse intervjuer kommer att hållas under början av september månad registrera din ansökan senast den augusti diarienummer sjöfartsverket gör kontinuerliga och aktiva val kring exponering och rekryteringsstöd i varje rekrytering vi undanber oss därför direktkontakt av annonsförsäljare bemannings och rekryteringsföretag ,Bad
 viktigt att du är serviceminded och ansvarstagande du ska ha tidigare erfarenhet behärskar svenska språket gärna kunna tala engelska engelska är inget krav salongen är nyrenoverad ,Bad
restaurangbranschen pulserar av kreativitet liv och rörelse just nu pågår en stor och spännande satsning kring bytet till ett koncerngemensamt affärssystem som kommer skapa nya möjligheter för koncernen att driva vår affär visst vill du vara med på den resan det övergripande uppdraget är att bidra till koncernens utveckling genom att tillgodose verksamhetens behov av effektiva system och processer huvudsakliga arbetsuppgifter i dag arbetar cirka personer inom ekonomicentret med att hantera redovisningen för alla svenska bolag inom koncernen i detta ingår ansvar för att förvalta och utveckla deras koncerngemensamma ekonomisystem såväl som att utveckla kvalitetssäkra och automatisera processer du kommer ingå i ekonomicentrets ledningsgrupp som består av gruppchefer och specialister tillsammans driver de utveckling effektivitet och kvalitet i de ekonomiadministrativa processerna specialist i systemfrågor genom att agera som länk till it vara systemförvaltare och driva frågor gentemot systemleverantörer analysera och automatisera processer genom att bland annat delta i utveckling och förvaltning av deras rpa processer keyuser vid lanseringen av ett nytt koncerngemensamt affärssystem driva utveckling och projekt kopplat till affärssystem delta i och eller leda tvärfunktionella team samt självständigt driva projekt stöd i mer komplexa flödes och systemfrågor kopplat till den löpande verksamheten driva kompetensutveckling via internutbildningar vad söker vi hos dig vi söker dig som har en högskoleutbildning inom ekonomi eller motsvarande med flera års relevant arbetslivserfarenhet du har erfarenhet inom redovisning och ekonomiadministrativa processer och är har varit med och drivit automation och utveckling av systemstöd du är van att hantera stora komplexa flöden och har ett stort intresse för process och systemutveckling samt har deltagit i olika projekt vi ser det som positivt om du tidigare arbetat med sap s hana det ses också som meriterande om du tidigare haft en systemförvaltarroll upprättat kravspecifikation och eller deltagit i olika tester du har ett metodiskt analytiskt och strukturerat arbetssätt och ser möjligheter där andra ser utmaningar du har ett coachande förhållningssätt och är lyhörd och nyfiken vidare är du duktig på att samarbeta och beskrivs som en prestigelös och stabil person har vi väckt din nyfikenhet och vill du höra mer såklart intervjuer sker löpande så ansök gärna så snart som möjligt dock senast den juli skicka in din ansökan här varmt välkommen med din ansökan ,Bad
vill du bidra till gott socialt arbete och samtidigt uppnå din fulla potential till vår avtalskommun söker vi en socionom som har minst tre års erfarenhet av myndighetsutövning inom kommunal verksamhet känner du att det är dags att ta nästa steg i karriären och vill veta mer om konsultlivet eller är du redan socionomkonsult och intresserad av att bredda ditt professionella nätverk oavsett om du föredrar att arbeta som anställd eller underkonsult ser vi fram emot att du kontaktar oss vi berättar gärna mer om uppdraget och hur det är att arbeta som socionomkonsult vi ser fram emot in din kontakt arbetsuppgifter du kommer att vara anställd av oss och uthyrd för att utföra sedvanliga arbetsuppgifter som socialsekreterare inom socialtjänstens utredningsenhet för barn och unga tjänsten som socialsekreterare innebär att du utreder beslutar och följer upp insatser utifrån gällande lagstiftning som sol och lvu du arbetar nära våra uppdragsgivares anställda och du har dagligt stöd av en arbetsledare och en förste socialsekreterare vi erbjuder du kommer att vara anställd av socionomera bemanning ab som konsult hos oss erbjuds du goda och flexibla arbetsvillkor samt tydlighet kring vad som förväntas av dig vi månar om att du ska trivas och må bra i rollen som socionomkonsult och vi söker alltid långa samarbeten och relationer vi kan bland annat erbjuda dig schyssta anställningsvillkor enligt vårt kollektivavtal med akademikerförbunden en lön som du förtjänar och en transparent lönepolicy tjänstepension genom collectum som anses ha ett av marknadens bästa pensionslösningar försäkringar som grupplivsförsäkring och sjukförsäkring via fora introduktion och regelbunden arbetsmiljöuppföljning intern och extern handledning friskvårdspeng och fortbildningspeng stöd av konsultchefer som själva är socionomer snabb och smidig personlig service en arbetsgivare som lägger stort fokus på hållbart och etiskt agerande inom socionombemanning ansökan du är varmt välkommen att skicka in din ansökan till oss vill du hellre börja med att höra mer så är du välkommen att kontakta oss via eller   efter att vi har lärt känna varandra bestämmer du var när och i vilken omfattning du vill arbeta och vi bevakar att du matchas mot lämpliga uppdrag vi har ramavtal med mer än var fjärde svensk kommun som för dig innebär ett brett urval av intressanta uppdrag våra konsultchefer är socionomer med lång erfarenhet av arbete inom socialtjänsten vilket gör att vi har god kännedom om våra uppdragsgivares behov och dina villkor vi är vana problemlösare och vi kan erbjuda stöttning utifrån dina behov under hela uppdragsperioden om oss socionomera bemanning ab är ett auktoriserat bemanningsbolag och vi är specialiserade på uthyrning av socionomer vi är övertygade om att så gott som alla som väljer att arbeta med ett människovårdande yrke har omtanke om sina medmänniskor som främsta anledning vi vill göra allt vi kan för att underlätta för organisationer och personer som väljer att bry dig nordens största affärstidning dagens industri har nyligen utsett oss till skåne läns gasellvinnare samt hela rikets tredje snabbast växande bolag vill du hjälpa oss att ta nästa steg i utvecklingen läs mer om oss på vår hemsida www socionomera se ,Bad
vill du bidra till gott socialt arbete och samtidigt uppnå din fulla potential till vår avtalskommun söker vi en socionom som har minst tre års erfarenhet av myndighetsutövning inom kommunal verksamhet känner du att det är dags att ta nästa steg i karriären och vill veta mer om konsultlivet eller är du redan socionomkonsult och intresserad av att bredda ditt professionella nätverk oavsett om du föredrar att arbeta som anställd eller underkonsult ser vi fram emot att du kontaktar oss vi berättar gärna mer om uppdraget och hur det är att arbeta som socionomkonsult vi ser fram emot in din kontakt arbetsuppgifter du kommer att vara anställd av oss och uthyrd för att utföra sedvanliga arbetsuppgifter som socialsekreterare inom socialtjänstens utredningsenhet för barn och unga tjänsten som socialsekreterare innebär att du utreder beslutar och följer upp insatser utifrån gällande lagstiftning som sol och lvu du arbetar nära våra uppdragsgivares anställda och du har dagligt stöd av en arbetsledare och en förste socialsekreterare vi erbjuder du kommer att vara anställd av socionomera bemanning ab som konsult hos oss erbjuds du goda och flexibla arbetsvillkor samt tydlighet kring vad som förväntas av dig vi månar om att du ska trivas och må bra i rollen som socionomkonsult och vi söker alltid långa samarbeten och relationer vi kan bland annat erbjuda dig schyssta anställningsvillkor enligt vårt kollektivavtal med akademikerförbunden en lön som du förtjänar och en transparent lönepolicy tjänstepension genom collectum som anses ha ett av marknadens bästa pensionslösningar försäkringar som grupplivsförsäkring och sjukförsäkring via fora introduktion och regelbunden arbetsmiljöuppföljning intern och extern handledning friskvårdspeng och fortbildningspeng stöd av konsultchefer som själva är socionomer snabb och smidig personlig service en arbetsgivare som lägger stort fokus på hållbart och etiskt agerande inom socionombemanning ansökan du är varmt välkommen att skicka in din ansökan till oss vill du hellre börja med att höra mer så är du välkommen att kontakta oss via eller   efter att vi har lärt känna varandra bestämmer du var när och i vilken omfattning du vill arbeta och vi bevakar att du matchas mot lämpliga uppdrag vi har ramavtal med mer än var fjärde svensk kommun som för dig innebär ett brett urval av intressanta uppdrag våra konsultchefer är socionomer med lång erfarenhet av arbete inom socialtjänsten vilket gör att vi har god kännedom om våra uppdragsgivares behov och dina villkor vi är vana problemlösare och vi kan erbjuda stöttning utifrån dina behov under hela uppdragsperioden om oss socionomera bemanning ab är ett auktoriserat bemanningsbolag och vi är specialiserade på uthyrning av socionomer vi är övertygade om att så gott som alla som väljer att arbeta med ett människovårdande yrke har omtanke om sina medmänniskor som främsta anledning vi vill göra allt vi kan för att underlätta för organisationer och personer som väljer att bry dig nordens största affärstidning dagens industri har nyligen utsett oss till skåne läns gasellvinnare samt hela rikets tredje snabbast växande bolag vill du hjälpa oss att ta nästa steg i utvecklingen läs mer om oss på vår hemsida www socionomera se ,Bad
vill du bidra till gott socialt arbete och samtidigt uppnå din fulla potential till vår avtalskommun söker vi en socionom som har minst tre års erfarenhet av myndighetsutövning inom kommunal verksamhet känner du att det är dags att ta nästa steg i karriären och vill veta mer om konsultlivet eller är du redan socionomkonsult och intresserad av att bredda ditt professionella nätverk oavsett om du föredrar att arbeta som anställd eller underkonsult ser vi fram emot att du kontaktar oss vi berättar gärna mer om uppdraget och hur det är att arbeta som socionomkonsult vi ser fram emot in din kontakt arbetsuppgifter du kommer att vara anställd av oss och uthyrd för att utföra sedvanliga arbetsuppgifter som socialsekreterare inom socialtjänstens utredningsenhet för vuxna missbrukare i tjänsten ingår myndighetsutövning med handläggning och dokumentation för vuxna och missbruk enligt sol och lvm det ingår även ansvar för planering och uppföljning av insatser med interna och externa uppdragstagare du arbetar nära våra uppdragsgivares anställda och du har dagligt stöd av en arbetsledare och en förste socialsekreterare vi erbjuder du kommer att vara anställd av socionomera bemanning ab som konsult hos oss erbjuds du goda och flexibla arbetsvillkor samt tydlighet kring vad som förväntas av dig vi månar om att du ska trivas och må bra i rollen som socionomkonsult och vi söker alltid långa samarbeten och relationer vi kan bland annat erbjuda dig schyssta anställningsvillkor enligt vårt kollektivavtal med akademikerförbunden en lön som du förtjänar och en transparent lönepolicy tjänstepension genom collectum som anses ha ett av marknadens bästa pensionslösningar försäkringar som grupplivsförsäkring och sjukförsäkring via fora introduktion och regelbunden arbetsmiljöuppföljning intern och extern handledning friskvårdspeng och fortbildningspeng stöd av konsultchefer som själva är socionomer snabb och smidig personlig service en arbetsgivare som lägger stort fokus på hållbart och etiskt agerande inom socionombemanning ansökan du är varmt välkommen att skicka in din ansökan till oss vill du hellre börja med att höra mer så är du välkommen att kontakta oss via eller   efter att vi har lärt känna varandra bestämmer du var när och i vilken omfattning du vill arbeta och vi bevakar att du matchas mot lämpliga uppdrag vi har ramavtal med mer än var fjärde svensk kommun som för dig innebär ett brett urval av intressanta uppdrag våra konsultchefer är socionomer med lång erfarenhet av arbete inom socialtjänsten vilket gör att vi har god kännedom om våra uppdragsgivares behov och dina villkor vi är vana problemlösare och vi kan erbjuda stöttning utifrån dina behov under hela uppdragsperioden om oss socionomera bemanning ab är ett auktoriserat bemanningsbolag och vi är specialiserade på uthyrning av socionomer vi är övertygade om att så gott som alla som väljer att arbeta med ett människovårdande yrke har omtanke om sina medmänniskor som främsta anledning vi vill göra allt vi kan för att underlätta för organisationer och personer som väljer att bry dig nordens största affärstidning dagens industri har nyligen utsett oss till skåne läns gasellvinnare samt hela rikets tredje snabbast växande bolag vill du hjälpa oss att ta nästa steg i utvecklingen läs mer om oss på vår hemsida www socionomera se ,Bad
vill du bidra till gott socialt arbete och samtidigt uppnå din fulla potential till vår avtalskommun söker vi en socionom som har minst tre års erfarenhet av myndighetsutövning inom kommunal verksamhet känner du att det är dags att ta nästa steg i karriären och vill veta mer om konsultlivet eller är du redan socionomkonsult och intresserad av att bredda ditt professionella nätverk oavsett om du föredrar att arbeta som anställd eller underkonsult ser vi fram emot att du kontaktar oss vi berättar gärna mer om uppdraget och hur det är att arbeta som socionomkonsult vi ser fram emot in din kontakt arbetsuppgifter du kommer att vara anställd av oss och uthyrd för att utföra sedvanliga arbetsuppgifter som socialsekreterare inom socialtjänstens utredningsenhet för vuxna missbrukare i tjänsten ingår myndighetsutövning med handläggning och dokumentation för vuxna och missbruk enligt sol och lvm det ingår även ansvar för planering och uppföljning av insatser med interna och externa uppdragstagare du arbetar nära våra uppdragsgivares anställda och du har dagligt stöd av en arbetsledare och en förste socialsekreterare vi erbjuder du kommer att vara anställd av socionomera bemanning ab som konsult hos oss erbjuds du goda och flexibla arbetsvillkor samt tydlighet kring vad som förväntas av dig vi månar om att du ska trivas och må bra i rollen som socionomkonsult och vi söker alltid långa samarbeten och relationer vi kan bland annat erbjuda dig schyssta anställningsvillkor enligt vårt kollektivavtal med akademikerförbunden en lön som du förtjänar och en transparent lönepolicy tjänstepension genom collectum som anses ha ett av marknadens bästa pensionslösningar försäkringar som grupplivsförsäkring och sjukförsäkring via fora introduktion och regelbunden arbetsmiljöuppföljning intern och extern handledning friskvårdspeng och fortbildningspeng stöd av konsultchefer som själva är socionomer snabb och smidig personlig service en arbetsgivare som lägger stort fokus på hållbart och etiskt agerande inom socionombemanning ansökan du är varmt välkommen att skicka in din ansökan till oss vill du hellre börja med att höra mer så är du välkommen att kontakta oss via eller   efter att vi har lärt känna varandra bestämmer du var när och i vilken omfattning du vill arbeta och vi bevakar att du matchas mot lämpliga uppdrag vi har ramavtal med mer än var fjärde svensk kommun som för dig innebär ett brett urval av intressanta uppdrag våra konsultchefer är socionomer med lång erfarenhet av arbete inom socialtjänsten vilket gör att vi har god kännedom om våra uppdragsgivares behov och dina villkor vi är vana problemlösare och vi kan erbjuda stöttning utifrån dina behov under hela uppdragsperioden om oss socionomera bemanning ab är ett auktoriserat bemanningsbolag och vi är specialiserade på uthyrning av socionomer vi är övertygade om att så gott som alla som väljer att arbeta med ett människovårdande yrke har omtanke om sina medmänniskor som främsta anledning vi vill göra allt vi kan för att underlätta för organisationer och personer som väljer att bry dig nordens största affärstidning dagens industri har nyligen utsett oss till skåne läns gasellvinnare samt hela rikets tredje snabbast växande bolag vill du hjälpa oss att ta nästa steg i utvecklingen läs mer om oss på vår hemsida www socionomera se ,Bad
vill du bidra till gott socialt arbete och samtidigt uppnå din fulla potential till vår avtalskommun söker vi en socionom som har minst tre års erfarenhet av myndighetsutövning inom kommunal verksamhet känner du att det är dags att ta nästa steg i karriären och vill veta mer om konsultlivet eller är du redan socionomkonsult och intresserad av att bredda ditt professionella nätverk oavsett om du föredrar att arbeta som anställd eller underkonsult ser vi fram emot att du kontaktar oss vi berättar gärna mer om uppdraget och hur det är att arbeta som socionomkonsult vi ser fram emot in din kontakt arbetsuppgifter du kommer att vara anställd av oss och uthyrd för att utföra sedvanliga arbetsuppgifter som socialsekreterare inom socialtjänstens utredningsenhet för vuxna missbrukare i tjänsten ingår myndighetsutövning med handläggning och dokumentation för vuxna och missbruk enligt sol och lvm det ingår även ansvar för planering och uppföljning av insatser med interna och externa uppdragstagare du arbetar nära våra uppdragsgivares anställda och du har dagligt stöd av en arbetsledare och en förste socialsekreterare vi erbjuder du kommer att vara anställd av socionomera bemanning ab som konsult hos oss erbjuds du goda och flexibla arbetsvillkor samt tydlighet kring vad som förväntas av dig vi månar om att du ska trivas och må bra i rollen som socionomkonsult och vi söker alltid långa samarbeten och relationer vi kan bland annat erbjuda dig schyssta anställningsvillkor enligt vårt kollektivavtal med akademikerförbunden en lön som du förtjänar och en transparent lönepolicy tjänstepension genom collectum som anses ha ett av marknadens bästa pensionslösningar försäkringar som grupplivsförsäkring och sjukförsäkring via fora introduktion och regelbunden arbetsmiljöuppföljning intern och extern handledning friskvårdspeng och fortbildningspeng stöd av konsultchefer som själva är socionomer snabb och smidig personlig service en arbetsgivare som lägger stort fokus på hållbart och etiskt agerande inom socionombemanning ansökan du är varmt välkommen att skicka in din ansökan till oss vill du hellre börja med att höra mer så är du välkommen att kontakta oss via eller   efter att vi har lärt känna varandra bestämmer du var när och i vilken omfattning du vill arbeta och vi bevakar att du matchas mot lämpliga uppdrag vi har ramavtal med mer än var fjärde svensk kommun som för dig innebär ett brett urval av intressanta uppdrag våra konsultchefer är socionomer med lång erfarenhet av arbete inom socialtjänsten vilket gör att vi har god kännedom om våra uppdragsgivares behov och dina villkor vi är vana problemlösare och vi kan erbjuda stöttning utifrån dina behov under hela uppdragsperioden om oss socionomera bemanning ab är ett auktoriserat bemanningsbolag och vi är specialiserade på uthyrning av socionomer vi är övertygade om att så gott som alla som väljer att arbeta med ett människovårdande yrke har omtanke om sina medmänniskor som främsta anledning vi vill göra allt vi kan för att underlätta för organisationer och personer som väljer att bry dig nordens största affärstidning dagens industri har nyligen utsett oss till skåne läns gasellvinnare samt hela rikets tredje snabbast växande bolag vill du hjälpa oss att ta nästa steg i utvecklingen läs mer om oss på vår hemsida www socionomera se ,Bad
vill du bidra till gott socialt arbete och samtidigt uppnå din fulla potential till vår avtalskommun söker vi en socionom som har minst tre års erfarenhet av myndighetsutövning inom kommunal verksamhet känner du att det är dags att ta nästa steg i karriären och vill veta mer om konsultlivet eller är du redan socionomkonsult och intresserad av att bredda ditt professionella nätverk oavsett om du föredrar att arbeta som anställd eller underkonsult ser vi fram emot att du kontaktar oss vi berättar gärna mer om uppdraget och hur det är att arbeta som socionomkonsult vi ser fram emot in din kontakt arbetsuppgifter du kommer att vara anställd av oss och uthyrd för att utföra sedvanliga arbetsuppgifter som socialsekreterare inom socialtjänstens utredningsenhet för vuxna missbrukare i tjänsten ingår myndighetsutövning med handläggning och dokumentation för vuxna och missbruk enligt sol och lvm det ingår även ansvar för planering och uppföljning av insatser med interna och externa uppdragstagare du arbetar nära våra uppdragsgivares anställda och du har dagligt stöd av en arbetsledare och en förste socialsekreterare vi erbjuder du kommer att vara anställd av socionomera bemanning ab som konsult hos oss erbjuds du goda och flexibla arbetsvillkor samt tydlighet kring vad som förväntas av dig vi månar om att du ska trivas och må bra i rollen som socionomkonsult och vi söker alltid långa samarbeten och relationer vi kan bland annat erbjuda dig schyssta anställningsvillkor enligt vårt kollektivavtal med akademikerförbunden en lön som du förtjänar och en transparent lönepolicy tjänstepension genom collectum som anses ha ett av marknadens bästa pensionslösningar försäkringar som grupplivsförsäkring och sjukförsäkring via fora introduktion och regelbunden arbetsmiljöuppföljning intern och extern handledning friskvårdspeng och fortbildningspeng stöd av konsultchefer som själva är socionomer snabb och smidig personlig service en arbetsgivare som lägger stort fokus på hållbart och etiskt agerande inom socionombemanning ansökan du är varmt välkommen att skicka in din ansökan till oss vill du hellre börja med att höra mer så är du välkommen att kontakta oss via eller   efter att vi har lärt känna varandra bestämmer du var när och i vilken omfattning du vill arbeta och vi bevakar att du matchas mot lämpliga uppdrag vi har ramavtal med mer än var fjärde svensk kommun som för dig innebär ett brett urval av intressanta uppdrag våra konsultchefer är socionomer med lång erfarenhet av arbete inom socialtjänsten vilket gör att vi har god kännedom om våra uppdragsgivares behov och dina villkor vi är vana problemlösare och vi kan erbjuda stöttning utifrån dina behov under hela uppdragsperioden om oss socionomera bemanning ab är ett auktoriserat bemanningsbolag och vi är specialiserade på uthyrning av socionomer vi är övertygade om att så gott som alla som väljer att arbeta med ett människovårdande yrke har omtanke om sina medmänniskor som främsta anledning vi vill göra allt vi kan för att underlätta för organisationer och personer som väljer att bry dig nordens största affärstidning dagens industri har nyligen utsett oss till skåne läns gasellvinnare samt hela rikets tredje snabbast växande bolag vill du hjälpa oss att ta nästa steg i utvecklingen läs mer om oss på vår hemsida www socionomera se ,Bad
vill du bidra till gott socialt arbete och samtidigt uppnå din fulla potential till vår avtalskommun söker vi en socionom som har minst tre års erfarenhet av myndighetsutövning inom kommunal verksamhet känner du att det är dags att ta nästa steg i karriären och vill veta mer om konsultlivet eller är du redan socionomkonsult och intresserad av att bredda ditt professionella nätverk oavsett om du föredrar att arbeta som anställd eller underkonsult ser vi fram emot att du kontaktar oss vi berättar gärna mer om uppdraget och hur det är att arbeta som socionomkonsult vi ser fram emot in din kontakt arbetsuppgifter du kommer att vara anställd av oss och uthyrd för att utföra sedvanliga arbetsuppgifter som socialsekreterare inom socialtjänstens utredningsenhet för vuxna missbrukare i tjänsten ingår myndighetsutövning med handläggning och dokumentation för vuxna och missbruk enligt sol och lvm det ingår även ansvar för planering och uppföljning av insatser med interna och externa uppdragstagare du arbetar nära våra uppdragsgivares anställda och du har dagligt stöd av en arbetsledare och en förste socialsekreterare vi erbjuder du kommer att vara anställd av socionomera bemanning ab som konsult hos oss erbjuds du goda och flexibla arbetsvillkor samt tydlighet kring vad som förväntas av dig vi månar om att du ska trivas och må bra i rollen som socionomkonsult och vi söker alltid långa samarbeten och relationer vi kan bland annat erbjuda dig schyssta anställningsvillkor enligt vårt kollektivavtal med akademikerförbunden en lön som du förtjänar och en transparent lönepolicy tjänstepension genom collectum som anses ha ett av marknadens bästa pensionslösningar försäkringar som grupplivsförsäkring och sjukförsäkring via fora introduktion och regelbunden arbetsmiljöuppföljning intern och extern handledning friskvårdspeng och fortbildningspeng stöd av konsultchefer som själva är socionomer snabb och smidig personlig service en arbetsgivare som lägger stort fokus på hållbart och etiskt agerande inom socionombemanning ansökan du är varmt välkommen att skicka in din ansökan till oss vill du hellre börja med att höra mer så är du välkommen att kontakta oss via eller   efter att vi har lärt känna varandra bestämmer du var när och i vilken omfattning du vill arbeta och vi bevakar att du matchas mot lämpliga uppdrag vi har ramavtal med mer än var fjärde svensk kommun som för dig innebär ett brett urval av intressanta uppdrag våra konsultchefer är socionomer med lång erfarenhet av arbete inom socialtjänsten vilket gör att vi har god kännedom om våra uppdragsgivares behov och dina villkor vi är vana problemlösare och vi kan erbjuda stöttning utifrån dina behov under hela uppdragsperioden om oss socionomera bemanning ab är ett auktoriserat bemanningsbolag och vi är specialiserade på uthyrning av socionomer vi är övertygade om att så gott som alla som väljer att arbeta med ett människovårdande yrke har omtanke om sina medmänniskor som främsta anledning vi vill göra allt vi kan för att underlätta för organisationer och personer som väljer att bry dig nordens största affärstidning dagens industri har nyligen utsett oss till skåne läns gasellvinnare samt hela rikets tredje snabbast växande bolag vill du hjälpa oss att ta nästa steg i utvecklingen läs mer om oss på vår hemsida www socionomera se ,Bad
